video_name,frame_idx,caption
stop_go,119,"The pedestrian is standing in front of the ego driver. They are facing their torso to the side. Their head changes from facing the ego driver to next to the ego driver. They have one arm raised up in front of them towards the ego driver with a flat palm. They are raising their other arm up in front of them towards the side of the road, pointing."
stop_go,127,"The pedestrian is standing in front of the ego driver. They are facing their torso to the side. Their head changes from facing the ego driver to next to the ego driver. They have one arm raised up in front of them towards the ego driver with a flat palm. They have their other arm up in front of them towards the side of the road and slightly towards the ego driver, while pointing."
stop_go,135,"The pedestrian is standing in front of the ego driver. They are facing their torso to the side. Their head faces towards the side. They have one arm raised up in front of them towards the ego driver with a flat palm. They move their other arm down the road while pointing."
stop_go,143,"The pedestrian is standing in front of the ego driver. They are facing their torso to the side. Their head faces towards the side. They have one arm raised up in front of them towards the ego driver with a flat palm. They move their other arm from down the road to in front of them to the side while pointing."
stop_go,151,"The pedestrian is standing in front of the ego driver. They are facing their torso to the side. Their head faces towards the side. They have one arm raised up in front of them towards the ego driver with a flat palm. They move their other arm from down and up the road while pointing."
stop_go,159,"The pedestrian is standing in front of the ego driver. They are facing their torso to the side. Their head faces towards the side moving a bit down the road. They have one arm raised up in front of them towards the ego driver with a flat palm. They move their other arm from down and up the road while pointing."
stop_go,167,"The pedestrian is standing in front of the ego driver. They are facing their torso to the side. Their head faces a bit down the road moving towards the side. They have one arm raised up in front of them towards the ego driver with a flat palm. They move their other arm from down and up the road while pointing."
stop_pass,51,"The pedestrian is standing right in front of the ego driver. They are facing their torso and face towards the ego driver. They are raising their arms up in front of them with flat palms towards the ego driver. Their other arms is by their side. They are gesturing the ego driver to stop."
stop_pass,59,"The pedestrian is standing right in front of the ego driver. They are facing their torso towards the ego driver. Their face is turning to the side. They have their arm raised up in front of them with flat palms towards the ego driver. They are raising their other arm up towards their side. They are gesturing the ego driver to stop."
stop_pass,67,"The pedestrian is standing right in front of the ego driver. They are facing their torso towards the ego driver. Their face is to the side. They have their arm raised up in front of them with flat palms towards the ego driver. They have their other arm raised up towards the left with a flat hand upwards. They are gesturing the ego driver to stop and pointing towards the side."
stop_pass,75,"The pedestrian is standing right in front of the ego driver. They are facing their torso towards the ego driver. Their face is turning from left to right. They have their arm raised up in front of them with flat palms towards the ego driver. They bend their other arm up towards their while pointing. They are gesturing the ego driver to stop and pointing other vehicles to go straight."
stop_pass,83,"The pedestrian is standing right in front of the ego driver. They are facing their torso towards the ego driver. Their face is turning to the right. They have their arm raised up in front of them with flat palms towards the ego driver. They move their other arm to the right, while pointing. They are gesturing the ego driver to stop and pointing other vehicles from the left to go straight to the right."
stop_pass,91,"The pedestrian is standing right in front of the ego driver. They are facing their torso towards the ego driver. Their face is turning from the right to towards the ego driver. They have their arm raised up in front of them with flat palms towards the ego driver. They bend their other arm from the right to the left, while pointing. They are gesturing the ego driver to stop and pointing other vehicles from the right to go straight to the left."
stop_pass,99,"The pedestrian is standing right in front of the ego driver. They are facing their torso towards the ego driver. Their face is turning from the ego driver to the left. They have their arm raised up in front of them with flat palms towards the ego driver. They stretch their other arm from to the left, while pointing. They are gesturing the ego driver to stop and pointing at other vehicles to the left."
follow,36,"The pedestrian is moving in front of the ego driver and away from the ego driver. They are facing their torso to the left and their head towards the ego driver. They have one arm in front of them towards the ego driver, with a flat hand pulling towards themselves. The other arm is by their side. They are gesturing the ego driver to drive ahead or follow them."
follow,44,"The pedestrian is in front of the ego driver and away from the ego driver. They are facing their torso to the left and their head towards the ego driver. They have one arm in front of them towards the ego driver, with a flat hand pulling towards themselves. The other arm is by their side. They are gesturing the ego driver to drive ahead or follow them."
follow,52,"The pedestrian is in front of the ego driver and away from the ego driver. They are facing their torso to the left and their head towards the ego driver. They have one arm in front of them towards the ego driver, with a flat hand pulling towards themselves. The other arm is by their side. They are gesturing the ego driver to drive ahead or follow them."
follow,60,"The pedestrian is in front of the ego driver and away from the ego driver. They are facing their torso to the left. Their head turns from towards the ego driver to behind themselves, ahead of the ego driver. They have one arm in front of them towards the ego driver, with a flat hand pulling towards themselves. The other arm is by their side. They are gesturing the ego driver to drive ahead or follow them."
follow,68,"The pedestrian is in front of the ego driver and away from the ego driver. They are facing their torso to the left. Their head facing behind themselves, ahead of the ego driver. They have one arm in front of them towards the ego driver, with a flat hand pulling towards themselves. The other arm is by their side. They are gesturing the ego driver to drive ahead or follow them."
hail,218,"The pedestrian is standing in front of the ego driver to the right. They are facing their torso to the left and their head towards the ego driver. They are raising one arm up next to their head, with an open hand. The other arm is down their side. They are trying to get the ego drivers attention."
hail,226,"The pedestrian is standing in front of the ego driver to the right. They are facing their torso and  head towards the ego driver. They are raising one arm up above their head, with an open hand. The other arm is down their side. They are trying to get the ego drivers attention to have the ego driver drive over to them."
hail,234,"The pedestrian is standing in front of the ego driver to the right. They are facing their torso and head towards the ego driver. They have one arm raised above their head out to the road, with an open hand. The other arm is down their side. They are trying to get the ego drivers attention to have the ego driver drive over to them."
hail,242,"The pedestrian is standing in front of the ego driver to the right. They are facing their torso and head towards the ego driver. They start walking towards the ego driver. They have one arm raised above their head out to the road, with an open hand. The other arm is down their side. They are trying to get the ego drivers attention to have the ego driver drive over to them."
hail,250,"The pedestrian is standing in front of the ego driver to the right. They are facing their torso and head towards the ego driver. They are walking towards the ego driver. They take one arm down from above their head. The other arm is down their side. They aren't gesturing anything."
left,89,"The pedestrian is standing in front of the ego driver. They are facing their torso and head towards the ego driver. They are raising both their arms up in front of them with a flat palm towards each other. They are indicating they are gesturing towards the ego driver."
left,97,"The pedestrian is standing in front of the ego driver. They are facing their torso towards the ego driver. They move from the ego driver to the left. They have one arm raised in front of them towards the ego driver. They pull their other arm from towards the ego driver, in to their body. Both hands are flat. They are indicating the ego driver to prepare to go left."
left,105,"The pedestrian is standing in front of the ego driver. They are facing their torso towards the ego driver. Their head is faced to the left. They have one arm raised in front of them towards the ego driver and the other straight towards the left. Both hands are flat. They are indicating the ego driver to go left."
left,113,"The pedestrian is standing in front of the ego driver. They are facing their torso and face towards the ego driver. They have one arm raised in front of them towards the ego driver and the other straight towards the left moving in to their body. Both hands are flat. They are indicating the ego driver to go left."
left,121,"The pedestrian is standing in front of the ego driver. They are facing their torso and face towards the ego driver. They are leaning their body to the left. They have one arm raised in front of them towards the ego driver. The other arm is moving from left, towards their body, and left again. Both hands are flat. They are indicating the ego driver to go left."
left,129,"The pedestrian is standing in front of the ego driver. They are facing their torso and face towards the ego driver. They are leaning their body to the left. They have one arm raised in front of them towards the ego driver. The other arm is moving from their body to the left. Both hands are flat. They are indicating the ego driver to go left."
left,137,"The pedestrian is standing in front of the ego driver. They are facing their torso towards the ego driver. They are looking from the ego driver to the left. They are leaning their body to the left. They have one arm raised in front of them towards the ego driver. The other arm is moving from the left to their body. Both hands are flat. They are indicating the ego driver to go left."
left,145,"The pedestrian is standing in front of the ego driver. They are facing their torso towards the ego driver. They are looking from the left to the ego driver. They are leaning their body to the left. They have one arm raised in front of them towards the ego driver. The other arm is moving from their body to the left. Both hands are flat. They are indicating the ego driver to go left."
left,153,"The pedestrian is standing in front of the ego driver. They are facing their torso towards the ego driver. They are looking at the ego driver. They are leaning their body to the left. They have one arm raised in front of them towards the ego driver. The other arm is straight to the left. Both their hands are flat. They are indicating the ego driver to go left."
left,161,"The pedestrian is standing in front of the ego driver. They are facing their torso and face towards the ego driver. They go from leaning to the left to stand straight. They move their from down from being straight ahead towards the ego driver. They move their other arm from straight left, down to their body. Both their hands are flat. They stop gesturing the ego driver to go left."
left,169,"The pedestrian is standing in front of the ego driver. They are facing their torso and face towards the ego driver. They move both their arms up in front of them towards the ego driver with flat palms. They are indicating attention to the ego driver."
left,177,"The pedestrian is standing in front of the ego driver. They are facing their torso towards the ego driver. Their face turns from the ego driver to the left. They keep one arm straight ahead towards the ego driver and start moving the other arm bended out to the left. Both hands are flat. They are indicating the ego driver to go left."
left,185,"The pedestrian is standing in front of the ego driver. They are facing their torso towards the ego driver. Their face turns from the left to the ego driver. They have one arm straight ahead towards the ego driver and move the other arm out to the left. Both hands are flat. They are indicating the ego driver to go left."
left,193,"The pedestrian is standing in front of the ego driver. They are facing their torso and face towards the ego driver. They have one arm straight ahead towards the ego driver and the other arm out to the left, starting to move it towards their body. Both hands are flat. They are indicating the ego driver to go left."
left,201,"The pedestrian is standing in front of the ego driver. They are facing their torso and face towards the ego driver. They have one arm straight ahead towards the ego driver and bending their other from left towards their body. Both hands are flat. They are indicating the ego driver to go left."
left,209,"The pedestrian is standing in front of the ego driver. They are facing their torso and face towards the ego driver. They have one arm straight ahead towards the ego driver and straightening the other from their body out to the left. Both hands are flat. They are indicating the ego driver to go left."
